nama,berat,url,negara,noc,cabor,negl,kotal,tinggi,tgll,status
YOUSEF OBAID,66kg,https://id.asiangames2018.id/athletes/athlete/OBAID-Yousef-3004666/,Palestine,PLE,Atletik,Palestine,JABALIA,181CM,05/20/1994,
Powell Obinna Obi,82kg,https://id.asiangames2018.id/athletes/athlete/OBI-Powell-Obinna-3000412/,Japan,JPN,Sepak Bola,NA,,193CM,12/18/1997,
ERNEST JOHN OBIENA,78kg,https://id.asiangames2018.id/athletes/athlete/OBIENA-Ernest-John-3009575/,Philippines,PHI,Atletik,Philippines,MANILA,187CM,11/17/1995,
Dulguun Ochbadrakh,70kg,https://id.asiangames2018.id/athletes/athlete/OCHBADRAKH-Dulguun-3028038/,Mongolia,MGL,Basket,NA,,183CM,11/18/1996,
HIROMASA OCHIAI,72kg,https://id.asiangames2018.id/athletes/athlete/OCHIAI-Hiromasa-3006663/,Japan,JPN,Hoki,Japan,SHIMANE,177CM,02/09/1994,
Erdenetsogt Ochirbat,95kg,https://id.asiangames2018.id/athletes/athlete/OCHIRBAT-Erdenetsogt-3028026/,Mongolia,MGL,Basket,NA,,183CM,01/14/1995,
JARGALAN OCHIRBAT,51kg,https://id.asiangames2018.id/athletes/athlete/OCHIRBAT-Jargalan-3026398/,Mongolia,MGL,Tinju,Mongolia,,156CM,03/13/1995,
MARGARITA OCHOA,47kg,https://id.asiangames2018.id/athletes/athlete/OCHOA-Margarita-3007859/,Philippines,PHI,Ju-Jitsu,Philippines,MANILA,152CM,05/06/1990,
MAKOTO ODAKURA,57kg,https://id.asiangames2018.id/athletes/athlete/ODAKURA-Makoto-3027119/,Japan,JPN,Triathlon,Japan,,164CM,07/20/1993,
ENAR ODEH,80kg,https://id.asiangames2018.id/athletes/athlete/ODEH-Enar-3013239/,Palestine,PLE,Basket,UnitedStates,RAMALLAH ,192CM,10/03/1993,
SUKHROB ODINAEV,69kg,https://id.asiangames2018.id/athletes/athlete/ODINAEV-Sukhrob-3004500/,Tajikistan,TJK,Ju-Jitsu,Tajikistan,DUSHANBE,173CM,08/24/1994,
EDIDIONG ODIONG,53kg,https://id.asiangames2018.id/athletes/athlete/ODIONG-Edidiong-3010983/,Bahrain,BRN,Atletik,Nigeria,,162CM,03/13/1997,
VLADA ODNOLETOK,58kg,https://id.asiangames2018.id/athletes/athlete/ODNOLETOK-Vlada-3021351/,Kazakhstan,KAZ,Rugby 7,Kazakhstan,,165CM,07/06/2001,
ANKH-UCHRAL ODSUREN,53kg,https://id.asiangames2018.id/athletes/athlete/ODSUREN-Ankh-Uchral-3027335/,Mongolia,MGL,Triathlon,Mongolia,,165CM,05/05/1995,
IKUMI OEDA,78kg,https://id.asiangames2018.id/athletes/athlete/OEDA-Ikumi-3009775/,Thailand,THA,Judo,Japan,japan,152CM,06/01/1993,
KRISTINA OFITSEROVA,65kg,https://id.asiangames2018.id/athletes/athlete/OFITSEROVA-Kristina-3003300/,Uzbekistan,UZB,Bola Tangan,Uzbekistan,,170CM,12/09/1987,
Koki Ogawa,75kg,https://id.asiangames2018.id/athletes/athlete/OGAWA-Koki-3024940/,Japan,JPN,Sepak Bola,NA,,180CM,08/08/1997,
TAKESHI OGAWA,90kg,https://id.asiangames2018.id/athletes/athlete/OGAWA-Takeshi-3025695/,Japan,JPN,Bola Voli,Tanzania,,193CM,07/07/1994,
,,https://id.asiangames2018.id/athletes/athlete/OGOMORI-(SOEJIMA)-Shota-(Noah)-3026429/,,,,,,,,error
TOSIN OGUNODE,80kg,https://id.asiangames2018.id/athletes/athlete/OGUNODE-Tosin-3002940/,Qatar,QAT,Atletik,Nigeria,,170CM,03/02/1994,
SAE OGURA,50kg,https://id.asiangames2018.id/athletes/athlete/OGURA-Sae-3025438/,Japan,JPN,Golf,Japan,,159CM,09/03/2000,
FENG GUI DESMOND OH,75kg,https://id.asiangames2018.id/athletes/athlete/OH-Feng-Gui-Desmond-3021453/,Singapore,SGP,Bridge,Singapore,SINGAPORE,175CM,05/11/1987,
HEA YEOUN OH,-,https://id.asiangames2018.id/athletes/athlete/OH-Hea-Yeoun-3011513/,Korea,KOR,Sofbol,NA,,-,10/02/1978,
JAEWON OH,67kg,https://id.asiangames2018.id/athletes/athlete/OH-Jaewon-3029265/,Korea,KOR,Atletik,Korea,,185CM,06/27/1996,
JESEOK OH,90kg,https://id.asiangames2018.id/athletes/athlete/OH-Jeseok-3012989/,Korea,KOR,Balap Sepeda Trek,Korea,,182CM,09/18/1997,
JIHWAN OH,80kg,https://id.asiangames2018.id/athletes/athlete/OH-Jihwan-3014130/,Korea,KOR,Bisbol ,Korea,,186CM,03/12/1990,
JINHYEK OH,98kg,https://id.asiangames2018.id/athletes/athlete/OH-Jinhyek-3011443/,Korea,KOR,Panahan,Korea,,182CM,08/15/1981,
KYONGSOO OH,85kg,https://id.asiangames2018.id/athletes/athlete/OH-Kyongsoo-3011777/,Korea,KOR,Atletik,Korea,,183CM,03/23/1987,
SANGUK OH,91kg,https://id.asiangames2018.id/athletes/athlete/OH-Sanguk-3012807/,Korea,KOR,Anggar,Korea,,192CM,09/30/1996,
SEUNGTAEK OH,80kg,https://id.asiangames2018.id/athletes/athlete/OH-Seungtaek-3012778/,Korea,KOR,Golf,Korea,,186CM,11/06/1998,
SUNGWHAN OH,65kg,https://id.asiangames2018.id/athletes/athlete/OH-Sungwhan-3015756/,Korea,KOR,Berkuda,Korea,,172CM,12/07/1979,
YEONJI OH,60kg,https://id.asiangames2018.id/athletes/athlete/OH-Yeonji-3012285/,Korea,KOR,Tinju,Korea,,168CM,08/04/1990,
MASAKI OHASHI,70kg,https://id.asiangames2018.id/athletes/athlete/OHASHI-Masaki-3006620/,Japan,JPN,Hoki,Japan,TOCHIGI,170CM,05/08/1993,
YUI OHASHI,55kg,https://id.asiangames2018.id/athletes/athlete/OHASHI-Yui-3006668/,Japan,JPN,Renang  ,Japan,SHIGA,173CM,10/18/1995,
AYA OHORI,58kg,https://id.asiangames2018.id/athletes/athlete/OHORI-Aya-3003587/,Japan,JPN,Bulutangkis,Japan,FUKUSHIMA,169CM,10/02/1996,
RIYU OHTA,61kg,https://id.asiangames2018.id/athletes/athlete/OHTA-Riyu-3024219/,Japan,JPN,Balap Sepeda Trek,Japan,,165CM,08/17/1994,
Mana Ohyama,62kg,https://id.asiangames2018.id/athletes/athlete/OHYAMA-Mana-3025507/,Japan,JPN,Bola Tangan,NA,,164CM,12/07/1992,
SHIHORI OIKAWA,58kg,https://id.asiangames2018.id/athletes/athlete/OIKAWA-Shihori-3025665/,Japan,JPN,Hoki,Japan,,164CM,03/12/1989,
CHAOBA DEVI OINAM,47kg,https://id.asiangames2018.id/athletes/athlete/OINAM-Chaoba-Devi-3012383/,India,IND,Sepaktakraw,India,THOUBAL,154CM,03/02/1988,
JAMESBOY SINGH OINAM,70kg,https://id.asiangames2018.id/athletes/athlete/OINAM-Jamesboy-Singh-3003303/,India,IND,Kano/Kayak Sprint,India,"BISHNUPUR, MANIPUR",165CM,03/01/1992,
YAIPHABI DEVI OINAM,53kg,https://id.asiangames2018.id/athletes/athlete/OINAM-Yaiphabi-Devi-3023982/,India,IND,Kano/Kayak Sprint,India,"THANGA CHINGKHA LEIKAI, MANIPU",158CM,12/03/1997,
KANNA OISHI,65kg,https://id.asiangames2018.id/athletes/athlete/OISHI-Kanna-3007215/,Japan,JPN,Anggar,Japan,OITA,168CM,10/10/1992,
RIKIYA OISHI,97kg,https://id.asiangames2018.id/athletes/athlete/OISHI-Rikiya-3001479/,Japan,JPN,Rugby 7,Japan,NAGANO,190CM,01/29/1993,
CHISAKI OIWA,38kg,https://id.asiangames2018.id/athletes/athlete/OIWA-Chisaki-3025461/,Japan,JPN,Senam Ritmik,Japan,,160CM,11/20/2001,
YOSHIAKI OIWA,70kg,https://id.asiangames2018.id/athletes/athlete/OIWA-Yoshiaki-3026430/,Japan,JPN,Berkuda,Japan,,170CM,07/19/1976,
LAWRENCE OIYAITOU,86kg,https://id.asiangames2018.id/athletes/athlete/OIYAITOU-Lawrence-3022462/,Indonesia,INA,Rugby 7,Indonesia,,186CM,06/21/1991,
ALI OJAGHI,92kg,https://id.asiangames2018.id/athletes/athlete/OJAGHI-Ali-3003390/,IR Iran,IRI,Kano/Kayak Sprint,IslamicRepublicofIran,,192CM,01/29/1992,
TAKESHI OJITANI,145kg,https://id.asiangames2018.id/athletes/athlete/OJITANI-Takeshi-3025853/,Japan,JPN,Judo,Japan,,186CM,06/09/1992,
YONGJOO OK,75kg,https://id.asiangames2018.id/athletes/athlete/OK-Yongjoo-3014263/,Korea,KOR,Kabaddi,Korea,,180CM,07/17/1995,
MICHIORI OKABE,86kg,https://id.asiangames2018.id/athletes/athlete/OKABE-Michiori-3008617/,Japan,JPN,Bisbol ,Japan,TOKYO,178CM,06/04/1992,
KUMIKO OKADA,47kg,https://id.asiangames2018.id/athletes/athlete/OKADA-Kumiko-3026648/,Japan,JPN,Atletik,Japan,,158CM,10/17/1991,
NAOYA OKADA,70kg,https://id.asiangames2018.id/athletes/athlete/OKADA-Naoya-3006903/,Japan,JPN,Menembak,Japan,OKAYAMA,183CM,10/10/1990,
YUICHIRO OKANO,85kg,https://id.asiangames2018.id/athletes/athlete/OKANO-Yuichiro-3008595/,Japan,JPN,Bisbol ,Japan,MIYAZAKI,180CM,04/16/1994,
SAYATBEK OKASSOV,65kg,https://id.asiangames2018.id/athletes/athlete/OKASSOV-Sayatbek-3028862/,Kazakhstan,KAZ,Gulat,Kazakhstan,,168CM,11/07/1991,
Keigo Okawa,96kg,https://id.asiangames2018.id/athletes/athlete/OKAWA-Keigo-3007119/,Japan,JPN,Polo Air,NA,,183CM,03/11/1990,
Makoto Okazaki,-,https://id.asiangames2018.id/athletes/athlete/OKAZAKI-Makoto-9953644/,Japan,JPN,Sepak Bola,NA,,-,10/10/1998,
ZHANYL OKOEVA,48kg,https://id.asiangames2018.id/athletes/athlete/OKOEVA-Zhanyl-3021114/,Kyrgyzstan,KGZ,Angkat Besi,Kyrgyzstan,BISHKEK,158CM,11/15/1993,
Roshini Devi Okram,50kg,https://id.asiangames2018.id/athletes/athlete/OKRAM-Roshini-Devi-3003785/,India,IND,Sepak Bola,NA,,167CM,02/08/1994,
Ade Mustikiana Oktafiani,51kg,https://id.asiangames2018.id/athletes/athlete/OKTAFIANI-Ade-Mustikiana-3020599/,Indonesia,INA,Sepak Bola,NA,,160CM,10/03/1999,
NOZOMI OKUHARA,52kg,https://id.asiangames2018.id/athletes/athlete/OKUHARA-Nozomi-3003597/,Japan,JPN,Bulutangkis,Japan,NAGANO,156CM,03/13/1995,
MAI OKUMURA,69kg,https://id.asiangames2018.id/athletes/athlete/OKUMURA-Mai-3005921/,Japan,JPN,Bola Voli,Japan,YAMAGUCHI,177CM,10/31/1990,
HARUNA OKUNO,55kg,https://id.asiangames2018.id/athletes/athlete/OKUNO-Haruna-3006223/,Japan,JPN,Gulat,Japan,MIE,157CM,03/18/1999,
YUME OKURODA,62kg,https://id.asiangames2018.id/athletes/athlete/OKURODA-Yume-3001206/,Japan,JPN,Rugby 7,Japan,CHIBA,157CM,07/06/1994,
RIRIKA OKUYAMA,68kg,https://id.asiangames2018.id/athletes/athlete/OKUYAMA-Ririka-3023959/,Japan,JPN,Basket 3x3,Japan,,180CM,04/06/2000,
HATTAN OLAYAN,85kg,https://id.asiangames2018.id/athletes/athlete/OLAYAN-Hattan-3012672/,Kingdom of Saudi Arabia,KSA,Polo Air,KingdomofSaudiArabia,JEDDAH,190CM,03/27/1988,
